:START_ID,:END_ID,:TYPE,cost:int
ST001,ST002,GINZA,1
ST002,ST003,GINZA,1
ST003,ST004,GINZA,1
ST004,ST005,GINZA,3
ST005,ST006,GINZA,3
ST006,ST007,GINZA,3
ST007,ST008,GINZA,3
ST008,ST009,GINZA,3
ST009,ST010,GINZA,3
ST010,ST011,GINZA,4
ST011,ST012,GINZA,4
ST002,ST001,GINZA,1
ST003,ST002,GINZA,1
ST004,ST003,GINZA,1
ST005,ST004,GINZA,3
ST006,ST005,GINZA,3
ST007,ST006,GINZA,3
ST008,ST007,GINZA,3
ST009,ST008,GINZA,3
ST010,ST009,GINZA,3
ST011,ST010,GINZA,4
ST012,ST011,GINZA,4
ST001,ST002,HANZOUMON,1
ST002,ST004,HANZOUMON,1
ST004,ST024,HANZOUMON,2
ST024,ST025,HANZOUMON,3
ST025,ST026,HANZOUMON,3
ST026,ST027,HANZOUMON,3
ST027,ST028,HANZOUMON,2
ST028,ST012,HANZOUMON,3
ST012,ST030,HANZOUMON,4
ST030,ST031,HANZOUMON,4
ST002,ST001,HANZOUMON,1
ST004,ST002,HANZOUMON,1
ST024,ST004,HANZOUMON,2
ST025,ST024,HANZOUMON,3
ST026,ST025,HANZOUMON,3
ST027,ST026,HANZOUMON,3
ST028,ST027,HANZOUMON,2
ST012,ST028,HANZOUMON,3
ST030,ST012,HANZOUMON,4
ST031,ST030,HANZOUMON,4
